connectivity_key,connectivity_group_size,structure_id,standard_inchi_key,standardized_smiles,p_activity_median,series_id,sources,compound_ids
AKEJRDWFJSZNFQ,2,STR-F316B31F563C35F0560E,AKEJRDWFJSZNFQ-MHZLTWQESA-N,CCCN(C)CCC[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1,5.785156151952302,SER-F7B9115420359440,PubChem,156531459
ATMCISWSCCZRKA,2,STR-88BBF77299762B038C6D,ATMCISWSCCZRKA-FWBANIIHSA-N,CC(C)C(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,6.625251653989896,SER-B92687DE56E5CCCB,ChEMBL;PubChem,CHEMBL5747059
ATMCISWSCCZRKA,2,STR-A723964BC2F481BF1509,ATMCISWSCCZRKA-ANOPSCNCSA-N,CC(C)C(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,3.783570169123749,SER-B92687DE56E5CCCB,PubChem,132104394
BEJJQUKWUUMXNO,2,STR-F60A396C51FDEB446C33,BEJJQUKWUUMXNO-HHHXNRCGSA-N,COCCNCCC[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,6.698970004336019,SER-F7B9115420359440,PubChem,156532038
BEJJQUKWUUMXNO,2,STR-6E87454FEE741EE39D57,BEJJQUKWUUMXNO-MHZLTWQESA-N,COCCNCCC[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(C(C)C)C(C)C)C2)C1,5.688246138944246,SER-F7B9115420359440,PubChem,156532042
BGKLHJYVRIJUSH,2,STR-8327CD7E287E5727BD93,BGKLHJYVRIJUSH-HHHXNRCGSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCC(C)(C)OC)C(C)C)C2)C(C)C,7.2441251443275085,SER-F7B9115420359440,PubChem,156498006
BGKLHJYVRIJUSH,2,STR-CEC3B82DF09531954FAB,BGKLHJYVRIJUSH-UHFFFAOYSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN(C(CCCNCC(C)(C)OC)C(C)C)C2)C(C)C,7.00436480540245,SER-F7B9115420359440,PubChem,156498115
BIOXWGVAXOLAGN,2,STR-FA1FDFBE4B94F7A252F5,BIOXWGVAXOLAGN-XYOWXNCWSA-N,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1CO,6.249491605148654,SER-B92687DE56E5CCCB,ChEMBL;PubChem,CHEMBL5760969
BIOXWGVAXOLAGN,2,STR-F4223A1339E66808912C,BIOXWGVAXOLAGN-KMSQYKAGSA-N,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1CO,5.337242168318426,SER-B92687DE56E5CCCB,ChEMBL;PubChem,CHEMBL5813023
BKJAOQMLDWABBS,2,STR-38B1872E6995BD9A227F,BKJAOQMLDWABBS-AREMUKBSSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCC(C)(C)N(C)C)C(C)C)C2)C(C)C,7.0,SER-F7B9115420359440,PubChem,156531824
BKJAOQMLDWABBS,2,STR-6CAE53F54456642C32C0,BKJAOQMLDWABBS-SANMLTNESA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCC(C)(C)N(C)C)C(C)C)C2)C(C)C,5.546681659952963,SER-F7B9115420359440,PubChem,156532005
BWVRLXPZVNPZJD,2,STR-8162199E4581352B8C4E,BWVRLXPZVNPZJD-BIBMFLLGSA-N,N#Cc1cc2cc(C(=O)N[C@H]3CC[C@H](C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2[nH]1,4.935542010773082,SER-05203AD39EE59148,ChEMBL,CHEMBL6007799
BWVRLXPZVNPZJD,2,STR-E1A559FB704F9D78FD76,BWVRLXPZVNPZJD-UHFFFAOYSA-N,N#Cc1cc2cc(C(=O)NC3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2[nH]1,4.935542010773082,SER-05203AD39EE59148,PubChem,132104748
CCNWGENWCZNTMO,2,STR-3ACD95779D752A7D6CB7,CCNWGENWCZNTMO-PBGLPUTKSA-N,CCN(C(=O)c1cc(F)ccc1OC1N=NC(Cl)=NC1N1CCC2(C1)CN([C@H](CCCN)C(C)C)C2)C(C)C,7.481486060122112,SER-E5621C7084AB064E,PubChem,178185576
CCNWGENWCZNTMO,2,STR-75FB4472D88CB6D25B7C,CCNWGENWCZNTMO-BSSNWTCHSA-N,CCN(C(=O)c1cc(F)ccc1OC1N=NC(Cl)=NC1N1CCC2(C1)CN([C@@H](CCCN)C(C)C)C2)C(C)C,7.0655015487564325,SER-E5621C7084AB064E,PubChem,178185577
CJQQTVQISYHBBS,2,STR-E082AD0DE1F3A12CC536,CJQQTVQISYHBBS-CVYBXRIJSA-N,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1F)C1CCN(CCCOc2ccc(C#N)cc2)CC1,7.180456064458131,SER-317158EDAD8598EE,ChEMBL;PubChem,CHEMBL6027587
CJQQTVQISYHBBS,2,STR-40FF751350DD414E6552,CJQQTVQISYHBBS-MODKJIOJSA-N,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1F)C1CCN(CCCOc2ccc(C#N)cc2)CC1,4.943095148663527,SER-317158EDAD8598EE,ChEMBL;PubChem,CHEMBL5869006
CMKBAOQEJWGPEB,2,STR-32FEF1FCB73DC9ADA20D,CMKBAOQEJWGPEB-LPHAKTNPSA-N,CC(=O)O[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,8.522878745280337,SER-8B11BACADDC8B4B4,ChEMBL;PubChem,CHEMBL5974610
CMKBAOQEJWGPEB,2,STR-913D178EB83662F51B15,CMKBAOQEJWGPEB-FBKNANETSA-N,CC(=O)O[C@@H]1CCC[C@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CN(C)Cc2ccc(F)cc21,6.79317412396815,SER-8B11BACADDC8B4B4,ChEMBL;PubChem,CHEMBL6046392
CREKPRIJPIEMSU,2,STR-3941BFA7C86C7BEE8530,CREKPRIJPIEMSU-KZNDPDLVSA-N,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,7.853871964321762,SER-6F3389DAFB00746E,ChEMBL;PubChem,CHEMBL6054581
CREKPRIJPIEMSU,2,STR-080A59F9B1BCF4DFA65B,CREKPRIJPIEMSU-NNTSECMXSA-N,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,6.302770657240282,SER-6F3389DAFB00746E,ChEMBL;PubChem,CHEMBL5800298
CSKBZNRLMHBUOA,2,STR-06E53FF33324D9B1A44A,CSKBZNRLMHBUOA-SRBHEWTHSA-N,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,7.698970004336019,SER-317158EDAD8598EE,ChEMBL;PubChem,CHEMBL5917864
CSKBZNRLMHBUOA,2,STR-AEBCF9F47DC8FFE6B030,CSKBZNRLMHBUOA-QWKOWPTQSA-N,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,6.7495799976911055,SER-317158EDAD8598EE,ChEMBL;PubChem,CHEMBL5959501
CXFJNJZPBYIKCK,2,STR-C6579F1285FA63B28E81,CXFJNJZPBYIKCK-SANMLTNESA-N,N#Cc1ccc(OCCCN2CCC([C@](O)(c3ccccn3)C3CCCC3)CC2)cc1,6.709965388637482,SER-D837B57CD0E0B2C6,ChEMBL,CHEMBL3126201
